year,college_code,college_name,branch_code,branch_name,district,college_type,category,cutoff,category_display
2022,2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village, Salem District 637304",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Salem,Private,OC,126.0,OC
2022,2327,"N S N College of Engineering and Technology, Karur-Madurai NH7, Manalmedu, Karur District 639003",CS,COMPUTER SCIENCE AND ENGINEERING,Karur,Private,OC,126.0,OC
2022,2327,"N S N College of Engineering and Technology, Karur-Madurai NH7, Manalmedu, Karur District 639003",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Karur,Private,OC,117.5,OC
2022,2328,"K S R Institute for Engineering and Technology, Thokkavadi, Namakkal District 637215",BM,BIO MEDICAL ENGINEERING,Namakkal,Private,OC,104.0,OC
2022,2328,"K S R Institute for Engineering and Technology, Thokkavadi, Namakkal District 637215",CS,COMPUTER SCIENCE AND ENGINEERING,Namakkal,Private,OC,113.5,OC
2022,2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District 641021",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Coimbatore,Private,OC,169.5,OC
2022,2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District 641021",XS,COMPUTER SCIENCE AND ENGINEERING (TAMIL),Coimbatore,Private,OC,123.0,OC
2022,2338,"Asian College of Engineering and Technology, Asian College Road, Kondayampalayam, Near Saravanampatti, Coimbatore District 641110",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Coimbatore,Private,OC,98.5,OC
2022,2338,"Asian College of Engineering and Technology, Asian College Road, Kondayampalayam, Near Saravanampatti, Coimbatore District 641110",ME,MECHANICAL ENGINEERING,Coimbatore,Private,OC,108.5,OC
2022,2341,"Ganesh College of Engineering, Attur Main Road, Mettupatti, Salem District 636111",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Salem,Private,OC,111.0,OC
2022,2341,"Ganesh College of Engineering, Attur Main Road, Mettupatti, Salem District 636111",ME,MECHANICAL ENGINEERING,Salem,Private,OC,105.5,OC
2022,2342,"Sri Ranganathar Institute of Engineering and Technology, Thudialur-Kovilpalay Road, Coimbatore District 641110",ME,MECHANICAL ENGINEERING,Coimbatore,Private,OC,129.5,OC
2022,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Salem,Private,OC,146.5,OC
2022,2346,"Shree Sathyam College of Engineering and Technology, NH-47, Manjakkalpatti, Kuppanur Post, Sankari Taluk, Salem District 637301",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Salem,Private,OC,104.5,OC
2022,2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem District 636106",AG,AGRICULTURAL ENGINEERING,Salem,Private,OC,117.0,OC
2022,2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem District 636106",CS,COMPUTER SCIENCE AND ENGINEERING,Salem,Private,OC,115.5,OC
2022,2357,"V S B College of Engineering Technical Campus, Ealur Pirivu, Solavampalayam Post, Coimbatore District 642109",CS,COMPUTER SCIENCE AND ENGINEERING,Coimbatore,Private,OC,98.5,OC
2022,2369,"Government College of Engineering, Chettikkarai Post, Dharmapuri District 635704",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Dharmapuri,Government,OC,147.5,OC
2022,2377,"PSG Institute of Technology and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Coimbatore,Private,OC,178.0,OC
2022,2377,"PSG Institute of Technology and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",ME,MECHANICAL ENGINEERING,Coimbatore,Private,OC,166.5,OC
2022,2603,"Government College of Engineering (Autonomous), Bargur, Krishnagiri District 635104",ME,MECHANICAL ENGINEERING,Krishnagiri,Government,OC,139.5,OC
2022,2606,"Jayam College of Engineering and Technology, Nallanur Post, Dharmapuri District 636813",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Dharmapuri,Private,OC,142.0,OC
2022,2608,"M Kumarasamy College of Engineering (Autonomous), Thalavapalayam, Karur District 639113",IT,INFORMATION TECHNOLOGY,Karur,Private,OC,156.5,OC
2022,2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal District 637503",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Namakkal,Private,OC,124.0,OC
2022,2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal District 637503",CE,CIVIL ENGINEERING,Namakkal,Private,OC,119.0,OC
2022,2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal District 637503",CY,Cyber Security,Namakkal,Private,OC,106.5,OC
2022,2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal District 637503",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Namakkal,Private,OC,136.5,OC
2022,2610,"Muthayammal Engineering College (Autonomous), Rasipuram, Namakkal District 637408",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Namakkal,Private,OC,113.5,OC
2022,2610,"Muthayammal Engineering College (Autonomous), Rasipuram, Namakkal District 637408",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,Namakkal,Private,OC,152.0,OC
2022,2610,"Muthayammal Engineering College (Autonomous), Rasipuram, Namakkal District 637408",ME,MECHANICAL ENGINEERING,Namakkal,Private,OC,131.5,OC
2022,2611,"Paavai Engineering College (Autonomous) , NH-7, Pachal Post, Namakkal District 637018",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Namakkal,Private,OC,133.5,OC
2022,2611,"Paavai Engineering College (Autonomous) , NH-7, Pachal Post, Namakkal District 637018",IT,INFORMATION TECHNOLOGY,Namakkal,Private,OC,134.5,OC
2022,2612,"P G P College of Engineering and Technology, Paramathi Post, Namakkal District 637207",CS,COMPUTER SCIENCE AND ENGINEERING,Namakkal,Private,OC,146.39,OC
2022,2612,"P G P College of Engineering and Technology, Paramathi Post, Namakkal District 637207",ME,MECHANICAL ENGINEERING,Namakkal,Private,OC,105.0,OC
2022,2613,"K S R College of Engineering (Autonomous), Tiruchengode, Namakkal District 637215",CE,CIVIL ENGINEERING,Namakkal,Private,OC,117.5,OC
2022,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",CE,CIVIL ENGINEERING,Salem,Government,OC,162.0,OC
2022,2617,"Sengunthar Engineering College (Autonomous), Tiruchengode, Namakkal District 637205",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Namakkal,Private,OC,130.0,OC
2022,2617,"Sengunthar Engineering College (Autonomous), Tiruchengode, Namakkal District 637205",MD,MEDICAL ELECTRONICS ENGINEERING,Namakkal,Private,OC,126.0,OC
2022,2623,"Mahendra College of Engineering, Attur Road, Minnampalli, Valapady, Salem District 636106",ME,MECHANICAL ENGINEERING,Salem,Private,OC,106.0,OC
2022,2624,"Gnanamani College of Technology, Pachal Post, Namakkal District 637018",AG,AGRICULTURAL ENGINEERING,Namakkal,Private,OC,116.5,OC
2022,2624,"Gnanamani College of Technology, Pachal Post, Namakkal District 637018",IT,INFORMATION TECHNOLOGY,Namakkal,Private,OC,143.0,OC
2022,2624,"Gnanamani College of Technology, Pachal Post, Namakkal District 637018",ME,MECHANICAL ENGINEERING,Namakkal,Private,OC,130.5,OC
2022,2625,"The Kavery Engineering College, M Kalipatti Post, Mecheri, Salem District 634456",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Salem,Private,OC,141.5,OC
2022,2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003",CE,CIVIL ENGINEERING,Namakkal,Private,OC,100.5,OC
2022,2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,Namakkal,Private,OC,123.0,OC
2022,2632,"Mahendra Institute of Technology (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal District 637503",AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),Namakkal,Private,OC,155.0,OC
2022,2633,"Vidyaa Vikas College of Engineering and Technology, Varahoorampatti, Tiruchengode, Namakkal District 637 214",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Namakkal,Private,OC,138.0,OC
2022,2634,"Excel Engineering College (Autonomous), NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District - 637303",AE,AERONAUTICAL ENGINEERING,Namakkal,Private,OC,148.0,OC
2022,2634,"Excel Engineering College (Autonomous), NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District - 637303",CS,COMPUTER SCIENCE AND ENGINEERING,Namakkal,Private,OC,129.5,OC
2022,2634,"Excel Engineering College (Autonomous), NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District - 637303",IT,INFORMATION TECHNOLOGY,Namakkal,Private,OC,127.0,OC
2022,2634,"Excel Engineering College (Autonomous), NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District - 637303",ME,MECHANICAL ENGINEERING,Namakkal,Private,OC,140.5,OC
2022,2635,"CMS College of Engineering, Emapuram Post, Namakkal District 637003",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Namakkal,Private,OC,137.0,OC
2022,2636,"A V S Engineering College, Military Road, Ammapet, Salem District 636003",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Salem,Private,OC,116.5,OC
2022,2636,"A V S Engineering College, Military Road, Ammapet, Salem District 636003",CS,COMPUTER SCIENCE AND ENGINEERING,Salem,Private,OC,144.5,OC
