college_code,college_name,district,college_type,annual_fees
1110,Prathyusha Engineering college (Autonomous) Aranvoyalkuppam Thiruvallur District 602025,Aranvoyalkuppam Thiruvallur,Private,70000
1112,R M D Engineering College (Autonomous) Kavaraipettai Gummidipoondi Thiruvallur District 601206,Ettai Gummidipoondi Thiruvallur,Private,70000
1114,S A Engineering College (Autonomous) Thiruverkadu Chennai 600077,Chennai,Private,90000
1116,Sri Venkateswara College of Engineering and Technology Thirupachur Thiruvallur District 631203,Hnology Thirupachur Thiruvallur,Private,70000
1118,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous) Avadi-Alamathi Road Chennai 600 062,Chennai,Private,90000
1122,Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous) Avadi-Alamathi Road Chennai 600 062,Chennai,Private,90000
1123,Gojan School of Business and Technology Alamathi Chennai 600062,Chennai,Private,90000
1125,PMR Engineering College Adayalampattu Chennai-600095,Chennai,Private,90000
1133,Annai Veilankannis College of Engineering Gandhi Road Nedungundram Chennai 600048,Chennai,Private,90000
1137,Annai Mira College of Engineering and Technology Arcot Road Arappakkam Village Walaja Taulk Ranipet District 632 517,Am,Private,70000
1149,St. Joseph's Institute of Technology (Autonomous) Jeppiaar Nagar Old Mahabalipuram Road (OMR) Chennai 600119,Chennai,Private,90000
1207,Kings Engineering College Sriperumpudur Taluk Kancheepuram District 602105,Riperumpudur,Private,70000
